 'p_name', 'cyano', 'green', 'diatom'
 'p_initial', 1, 1, 1
 'p0', 0.03, 0.03, 0.03
 'Xcc', 80, 30, 60
 'R_growth', 1.0, 2.0, 3.0
 'fT_Method', 1, 1, 1
 'theta_growth', 1.08, 1.08, 1.08
 'T_std', 20, 18, 8
 'T_opt', 28, 25, 18
 'T_max', 35, 30, 25
 'lightModel', 1, 1, 1
 'I_K', 10, 10, 5
 'I_S', 250, 250, 250
 'KePHY', 0.005, 0.005, 0.001
 'f_pr', 0.1, 0.1, 0.1
 'R_resp', 0.08, 0.08, 0.08
 'theta_resp', 1.08, 1.08, 1.08
 'k_fres', 0.8, 0.8, 0.8
 'k_fdom', 0.15, 0.15, 0.15
 'salTol', 0, 0, 0
 'S_bep', 2, 2, 2
 'S_maxsp', 35, 35, 35
 'S_opt', 0, 0, 0
 'simDINUptake', 1, 1, 1
 'simDONUptake', 0, 0, 0
 'simNFixation', 0, 0, 0
 'simINDynamics', 0, 0, 0
 'N_o', 0, 0, 0
 'K_N', 2, 2, 1
 'X_ncon', 0.12, 0.02, 0.12
 'X_nmin', 0.02, 0.02, 0.02
 'X_nmax', 0.12, 0.12, 0.12
 'R_nuptake', 0.02, 0.02, 0.02
 'k_nfix', 0.7, 0.7, 0.7
 'R_nfix', 0.035, 0.035, 0.035
 'simDIPUptake', 1, 1, 1
 'simIPDynamics', 0, 0, 0
 'P_0', 0.0, 0.0, 0.0
 'K_P', 0.05, 0.05, 0.05
 'X_pcon', 0.0005, 0.0005, 0.0005
 'X_pmin', 0.0005, 0.0005, 0.0005
 'X_pmax', 0.005, 0.005, 0.005
 'R_puptake', 0.001, 0.001, 0.001
 'simSiUptake', 0, 0, 1
 'Si_0', 0.3, 0.3, 0.3
 'K_Si', 2.5, 2.5, 2.5
 'X_sicon', 0.4, 0.4, 0.4
 'w_p', -0.13, -0.13, -0.15
 'c1', 0.0020667, 0.0020667, 0.0020667
 'c3', 0.0003833, 0.0003833, 0.0003833
 'f1', 0.675, 0.675, 0.675
 'f2', 0.75, 0.75, 0.75
 'd_phy', 1.0E-5, 1.0E-5, 1.0E-5
